method	n_cluster	seed	ari_value
wNMF-based	11	6	0.30679063445252003
wNMF-based	11	7	0.30679063445252003
wNMF-based	11	8	0.30679063445252003
wNMF-based	11	9	0.30679063445252003
Average-based	12	0	0.3194479831385036
Average-based	12	1	0.3194479831385036
Average-based	12	2	0.3206236471752543
Average-based	12	3	0.3194479831385036
Average-based	12	4	0.3194479831385036
Average-based	12	5	0.3194479831385036
Average-based	12	6	0.3206236471752543
Average-based	12	7	0.3194479831385036
Average-based	12	8	0.3194479831385036
Average-based	12	9	0.3194479831385036
Onehot-based	12	0	0.3196688816449308
Onehot-based	12	1	0.3196688816449308
Onehot-based	12	2	0.3206236471752543
Onehot-based	12	3	0.3206236471752543
Onehot-based	12	4	0.3196688816449308
Onehot-based	12	5	0.3206236471752543
Onehot-based	12	6	0.3184940703860093
Onehot-based	12	7	0.3196688816449308
Onehot-based	12	8	0.3206236471752543
Onehot-based	12	9	0.3206236471752543
wNMF-based	12	0	0.3188806189801887
wNMF-based	12	1	0.3188806189801887
wNMF-based	12	2	0.3188806189801887
wNMF-based	12	3	0.3188806189801887
wNMF-based	12	4	0.3188806189801887
wNMF-based	12	5	0.3188806189801887
wNMF-based	12	6	0.3188806189801887
wNMF-based	12	7	0.3188806189801887
wNMF-based	12	8	0.3188806189801887
wNMF-based	12	9	0.3188806189801887
Average-based	13	0	0.3091510325977459
Average-based	13	1	0.3091510325977459
Average-based	13	2	0.3091510325977459
Average-based	13	3	0.3091510325977459
Average-based	13	4	0.3091510325977459
Average-based	13	5	0.3091510325977459
Average-based	13	6	0.3091510325977459
Average-based	13	7	0.3091510325977459
Average-based	13	8	0.3091510325977459
Average-based	13	9	0.3091510325977459
Onehot-based	13	0	0.3091510325977459
Onehot-based	13	1	0.3091510325977459
Onehot-based	13	2	0.3091510325977459
Onehot-based	13	3	0.3091510325977459
Onehot-based	13	4	0.3091510325977459
Onehot-based	13	5	0.3091510325977459
Onehot-based	13	6	0.3091510325977459
Onehot-based	13	7	0.3091510325977459
Onehot-based	13	8	0.3091510325977459
Onehot-based	13	9	0.3091510325977459
wNMF-based	13	0	0.3056309202933806
wNMF-based	13	1	0.30580638952342976
wNMF-based	13	2	0.3056309202933806
wNMF-based	13	3	0.3056309202933806
wNMF-based	13	4	0.3056309202933806
wNMF-based	13	5	0.30580638952342976
wNMF-based	13	6	0.30580638952342976
wNMF-based	13	7	0.30580638952342976
wNMF-based	13	8	0.30580638952342976
wNMF-based	13	9	0.30580638952342976
Average-based	14	0	0.2997740317956617
Average-based	14	1	0.2997740317956617
Average-based	14	2	0.2979681502742052
Average-based	14	3	0.2997740317956617
Average-based	14	4	0.2985569401109027
Average-based	14	5	0.2997740317956617
Average-based	14	6	0.3004378309398566
Average-based	14	7	0.2997740317956617
Average-based	14	8	0.3004378309398566
Average-based	14	9	0.30009489379578
Onehot-based	14	0	0.3000246123484901
Onehot-based	14	1	0.29880723830561556
Onehot-based	14	2	0.3000246123484901
Onehot-based	14	3	0.29880723830561556
Onehot-based	14	4	0.3000246123484901
Onehot-based	14	5	0.29880723830561556
Onehot-based	14	6	0.29880723830561556
Onehot-based	14	7	0.29880723830561556
Onehot-based	14	8	0.29880723830561556
Onehot-based	14	9	0.29880723830561556
wNMF-based	14	0	0.3026734725245817
wNMF-based	14	1	0.3026734725245817
wNMF-based	14	2	0.3026734725245817
wNMF-based	14	3	0.3026734725245817
wNMF-based	14	4	0.3026734725245817
wNMF-based	14	5	0.3026734725245817
wNMF-based	14	6	0.3026734725245817
wNMF-based	14	7	0.3026734725245817
wNMF-based	14	8	0.3026734725245817
wNMF-based	14	9	0.3026734725245817
Average-based	15	0	0.25370850485193913
Average-based	15	1	0.25373224638961006
Average-based	15	2	0.25373224638961006
Average-based	15	3	0.25373224638961006
Average-based	15	4	0.25373224638961006
Average-based	15	5	0.25373224638961006
Average-based	15	6	0.25370850485193913
Average-based	15	7	0.25370850485193913
Average-based	15	8	0.25373224638961006
Average-based	15	9	0.25373224638961006
Onehot-based	15	0	0.25370850485193913
Onehot-based	15	1	0.25373224638961006
Onehot-based	15	2	0.25373224638961006
Onehot-based	15	3	0.25373224638961006
Onehot-based	15	4	0.25373224638961006
Onehot-based	15	5	0.25370850485193913
Onehot-based	15	6	0.25373224638961006
Onehot-based	15	7	0.25370850485193913
Onehot-based	15	8	0.25373224638961006
Onehot-based	15	9	0.25373224638961006
wNMF-based	15	0	0.2568508964138373
wNMF-based	15	1	0.2568508964138373
wNMF-based	15	2	0.2568508964138373
wNMF-based	15	3	0.2568508964138373
wNMF-based	15	4	0.2568508964138373
wNMF-based	15	5	0.2568508964138373
wNMF-based	15	6	0.2568508964138373
wNMF-based	15	7	0.2568508964138373
wNMF-based	15	8	0.2568508964138373
wNMF-based	15	9	0.2568508964138373
Average-based	16	0	0.25302329873489804
Average-based	16	1	0.25302329873489804
Average-based	16	2	0.25349892896512627
Average-based	16	3	0.2532876661495687
Average-based	16	4	0.24843927736202834
Average-based	16	5	0.2532876661495687
Average-based	16	6	0.24887829306003037
Average-based	16	7	0.2539360991904388
Average-based	16	8	0.25258605116467586
Average-based	16	9	0.25258605116467586
Onehot-based	16	0	0.2469017801910121
Onehot-based	16	1	0.24907151700254154
Onehot-based	16	2	0.24770741098229113
Onehot-based	16	3	0.24726844765666117
Onehot-based	16	4	0.24726844765666117
Onehot-based	16	5	0.24726844765666117
Onehot-based	16	6	0.24726844765666117
Onehot-based	16	7	0.24726844765666117
Onehot-based	16	8	0.24770741098229113
Onehot-based	16	9	0.24770741098229113
wNMF-based	16	0	0.2482694916979745
wNMF-based	16	1	0.248149093520297
wNMF-based	16	2	0.2482694916979745
wNMF-based	16	3	0.2482694916979745
wNMF-based	16	4	0.2482694916979745
wNMF-based	16	5	0.2482694916979745
wNMF-based	16	6	0.2482694916979745
wNMF-based	16	7	0.2482694916979745
wNMF-based	16	8	0.2482694916979745
wNMF-based	16	9	0.2482694916979745
Average-based	17	0	0.2456930858962285
Average-based	17	1	0.2456930858962285
Average-based	17	2	0.24592340457990636
Average-based	17	3	0.24592340457990636
Average-based	17	4	0.2456930858962285
Average-based	17	5	0.24592340457990636
Average-based	17	6	0.24592340457990636
Average-based	17	7	0.24592340457990636
Average-based	17	8	0.24592340457990636
Average-based	17	9	0.2456930858962285
Onehot-based	17	0	0.2460390184191511
Onehot-based	17	1	0.24589281877007924
Onehot-based	17	2	0.24619649649858596
Onehot-based	17	3	0.24478774340544437
Onehot-based	17	4	0.24619649649858596
Onehot-based	17	5	0.24589281877007924
Onehot-based	17	6	0.24478774340544437
Onehot-based	17	7	0.24478774340544437
Onehot-based	17	8	0.24589281877007924
Onehot-based	17	9	0.24478774340544437
wNMF-based	17	0	0.24591710692048735
wNMF-based	17	1	0.24635826821552195
wNMF-based	17	2	0.24660907808161076
wNMF-based	17	3	0.24660907808161076
wNMF-based	17	4	0.24746326165143073
wNMF-based	17	5	0.24591710692048735
wNMF-based	17	6	0.2456669991656694
wNMF-based	17	7	0.24591710692048735
wNMF-based	17	8	0.24660907808161076
wNMF-based	17	9	0.24601606225211547
Average-based	18	0	0.24018021820345906
Average-based	18	1	0.23951995015166008
Average-based	18	2	0.24018021820345906
Average-based	18	3	0.24018021820345906
Average-based	18	4	0.24018021820345906
Average-based	18	5	0.24018021820345906
Average-based	18	6	0.24018021820345906
Average-based	18	7	0.24018021820345906
Average-based	18	8	0.24018021820345906
Average-based	18	9	0.24018021820345906
Onehot-based	18	0	0.2412339974876569
Onehot-based	18	1	0.24025632969501948
Onehot-based	18	2	0.2412339974876569
Onehot-based	18	3	0.2412339974876569
Onehot-based	18	4	0.24025632969501948
Onehot-based	18	5	0.24025632969501948
