method	n_cluster	seed	ari_value
wNMF-based	13	1	0.4585689162232852
wNMF-based	13	2	0.4540102629925517
wNMF-based	13	3	0.44196670448011405
wNMF-based	13	4	0.4541619459849987
wNMF-based	13	5	0.4420244207875027
wNMF-based	13	6	0.453930465940531
wNMF-based	13	7	0.4456878607834659
wNMF-based	13	8	0.4540102629925517
wNMF-based	13	9	0.4541619459849987
Average-based	14	0	0.5268752536189895
Average-based	14	1	0.5259840204416573
Average-based	14	2	0.5264446543656237
Average-based	14	3	0.5265906424051159
Average-based	14	4	0.5267377452391055
Average-based	14	5	0.5255494554093773
Average-based	14	6	0.5267377452391055
Average-based	14	7	0.5263751359002696
Average-based	14	8	0.5145165056635022
Average-based	14	9	0.5224007807068111
Onehot-based	14	0	0.5255700243680843
Onehot-based	14	1	0.5245950893211915
Onehot-based	14	2	0.525564276891169
Onehot-based	14	3	0.5245950893211915
Onehot-based	14	4	0.5245950893211915
Onehot-based	14	5	0.5245950893211915
Onehot-based	14	6	0.5255700243680843
Onehot-based	14	7	0.5244968561043257
Onehot-based	14	8	0.5245893338120332
Onehot-based	14	9	0.5244968561043257
wNMF-based	14	0	0.4817588097861442
wNMF-based	14	1	0.4896019670207938
wNMF-based	14	2	0.49002483244819295
wNMF-based	14	3	0.49002483244819295
wNMF-based	14	4	0.48971840891331025
wNMF-based	14	5	0.4896019670207938
wNMF-based	14	6	0.4896019670207938
wNMF-based	14	7	0.4896019670207938
wNMF-based	14	8	0.48971840891331025
wNMF-based	14	9	0.4736204983971255
Average-based	15	0	0.5226278321325839
Average-based	15	1	0.522060273094073
Average-based	15	2	0.5212243227655996
Average-based	15	3	0.5226278321325839
Average-based	15	4	0.5224908221945557
Average-based	15	5	0.522060273094073
Average-based	15	6	0.5226766903334512
Average-based	15	7	0.522060273094073
Average-based	15	8	0.522060273094073
Average-based	15	9	0.5212243227655996
Onehot-based	15	0	0.5223303790599759
Onehot-based	15	1	0.5226610842216336
Onehot-based	15	2	0.5226610842216336
Onehot-based	15	3	0.5228298521849211
Onehot-based	15	4	0.5226610842216336
Onehot-based	15	5	0.5214676077364478
Onehot-based	15	6	0.5207858050262475
Onehot-based	15	7	0.5191472192629534
Onehot-based	15	8	0.5228298521849211
Onehot-based	15	9	0.5193143419549389
wNMF-based	15	0	0.44685928388459234
wNMF-based	15	1	0.4459504204905524
wNMF-based	15	2	0.4561830504825816
wNMF-based	15	3	0.4567010418043785
wNMF-based	15	4	0.45625456648494844
wNMF-based	15	5	0.4562511407459946
wNMF-based	15	6	0.45572808640480184
wNMF-based	15	7	0.46095133995178106
wNMF-based	15	8	0.4636787437883919
wNMF-based	15	9	0.4558261994486351
Average-based	16	0	0.5088066404724199
Average-based	16	1	0.5065119894633688
Average-based	16	2	0.4787383685650461
Average-based	16	3	0.5060561408740539
Average-based	16	4	0.47710302525587955
Average-based	16	5	0.507457439137375
Average-based	16	6	0.508026435070617
Average-based	16	7	0.5227249561851431
Average-based	16	8	0.5038306897627471
Average-based	16	9	0.5052234035693891
Onehot-based	16	0	0.5171201503584629
Onehot-based	16	1	0.4851015091187002
Onehot-based	16	2	0.5150132419828145
Onehot-based	16	3	0.4806277966958534
Onehot-based	16	4	0.48229911869908215
Onehot-based	16	5	0.5171201503584629
Onehot-based	16	6	0.4814846167784289
Onehot-based	16	7	0.5149132245210514
Onehot-based	16	8	0.4810415452654174
Onehot-based	16	9	0.48321634921969503
wNMF-based	16	0	0.46449002254927624
wNMF-based	16	1	0.47628023918979534
wNMF-based	16	2	0.4703531366070452
wNMF-based	16	3	0.4694622128951087
wNMF-based	16	4	0.4687634534257185
wNMF-based	16	5	0.45875923701877513
wNMF-based	16	6	0.47058274325975946
wNMF-based	16	7	0.46376943707201645
wNMF-based	16	8	0.46731548569253845
wNMF-based	16	9	0.4719196620786289
Average-based	17	0	0.4808105676070725
Average-based	17	1	0.474913891034769
Average-based	17	2	0.48166307251458834
Average-based	17	3	0.48166307251458834
Average-based	17	4	0.48211391057890635
Average-based	17	5	0.4760688329850186
Average-based	17	6	0.48166307251458834
Average-based	17	7	0.48122594437571764
