method	n_cluster	seed	ari_value
Average-based	15	2	0.18430622680582595
Average-based	15	3	0.18524704029405542
Average-based	15	4	0.18340523530011546
Average-based	15	5	0.20093288038794072
Average-based	15	6	0.1810705654084026
Average-based	15	7	0.19478612695054714
Average-based	15	8	0.179815805601497
Average-based	15	9	0.18155229690310126
Onehot-based	15	0	0.17861392540664528
Onehot-based	15	1	0.18038156634655214
Onehot-based	15	2	0.1835971886605822
Onehot-based	15	3	0.18167603973613583
Onehot-based	15	4	0.17876027929302205
Onehot-based	15	5	0.18614560788345336
Onehot-based	15	6	0.19988044708434027
Onehot-based	15	7	0.18103459062745972
Onehot-based	15	8	0.18381904388360457
Onehot-based	15	9	0.18702413096594772
wNMF-based	15	0	0.18606461696459806
wNMF-based	15	1	0.19483642239770538
wNMF-based	15	2	0.19430795159517944
wNMF-based	15	3	0.1904499405516818
wNMF-based	15	4	0.1915568646290817
wNMF-based	15	5	0.19365089162847454
wNMF-based	15	6	0.1959277894416047
wNMF-based	15	7	0.19426786311686478
wNMF-based	15	8	0.1909190188768735
wNMF-based	15	9	0.17925831764526726
Average-based	16	0	0.17506427568646105
Average-based	16	1	0.1730768687410257
Average-based	16	2	0.17971477588498214
Average-based	16	3	0.18194276098075268
Average-based	16	4	0.1837485079445283
Average-based	16	5	0.18059406726953264
Average-based	16	6	0.17941320257326102
Average-based	16	7	0.183186854792239
Average-based	16	8	0.18288730474833806
Average-based	16	9	0.18053217429057497
Onehot-based	16	0	0.1981634225268717
Onehot-based	16	1	0.21153869791856078
Onehot-based	16	2	0.18389862926607414
Onehot-based	16	3	0.1786400871919016
Onehot-based	16	4	0.18782421469045102
Onehot-based	16	5	0.17137803283341593
Onehot-based	16	6	0.17514797360831386
Onehot-based	16	7	0.16768447973329392
Onehot-based	16	8	0.18043573655122566
Onehot-based	16	9	0.1860433291990293
wNMF-based	16	0	0.18045923901342464
wNMF-based	16	1	0.17234339363537207
wNMF-based	16	2	0.17526680724560825
wNMF-based	16	3	0.18528122848743284
wNMF-based	16	4	0.18393527214235317
wNMF-based	16	5	0.17614520257166943
wNMF-based	16	6	0.18250471474027666
wNMF-based	16	7	0.18120643737473324
wNMF-based	16	8	0.1761327383244168
wNMF-based	16	9	0.18754245799655364
Average-based	17	0	0.17635294038796445
Average-based	17	1	0.16691084229297706
Average-based	17	2	0.1827569948613752
Average-based	17	3	0.1818404185331305
Average-based	17	4	0.18511760397376037
Average-based	17	5	0.18576622413630026
Average-based	17	6	0.1756497622557887
Average-based	17	7	0.18477773833219452
Average-based	17	8	0.17831447288086674
Average-based	17	9	0.17776093527841713
Onehot-based	17	0	0.1800947797920737
Onehot-based	17	1	0.16581701073730631
Onehot-based	17	2	0.16959844526066364
Onehot-based	17	3	0.16403597263774974
Onehot-based	17	4	0.1824269621084514
Onehot-based	17	5	0.17933824236784704
Onehot-based	17	6	0.16989135314130563
Onehot-based	17	7	0.16588864994172503
Onehot-based	17	8	0.16934532313414571
Onehot-based	17	9	0.16193026901732968
wNMF-based	17	0	0.15930678597154022
wNMF-based	17	1	0.16667658822413275
wNMF-based	17	2	0.17754449235297104
wNMF-based	17	3	0.1757374570663467
wNMF-based	17	4	0.1709325210437747
wNMF-based	17	5	0.1697152016608004
wNMF-based	17	6	0.17872354246802818
wNMF-based	17	7	0.17544370130231485
wNMF-based	17	8	0.17411344790875619
wNMF-based	17	9	0.181476089581629
Average-based	18	0	0.17683407308686117
Average-based	18	1	0.15293194664994594
Average-based	18	2	0.17897992785914943
Average-based	18	3	0.176438989655029
Average-based	18	4	0.1479682864416454
Average-based	18	5	0.1742457160058545
Average-based	18	6	0.19016394831142444
Average-based	18	7	0.18203104589760066
Average-based	18	8	0.15280886058991505
Average-based	18	9	0.15025688763287665
Onehot-based	18	0	0.18205577798699832
Onehot-based	18	1	0.17402207267556868
Onehot-based	18	2	0.1564291910598933
Onehot-based	18	3	0.17693223904517336
Onehot-based	18	4	0.15900150479336564
Onehot-based	18	5	0.15525289114823596
Onehot-based	18	6	0.1816900032976999
Onehot-based	18	7	0.1619227028131152
Onehot-based	18	8	0.15653266575895322
Onehot-based	18	9	0.1554394920660742
wNMF-based	18	0	0.15989826962782805
wNMF-based	18	1	0.17050867716377924
wNMF-based	18	2	0.18485941714082613
wNMF-based	18	3	0.16594573760880268
wNMF-based	18	4	0.16313541819640104
wNMF-based	18	5	0.16845717388280265
wNMF-based	18	6	0.1649813034273386
wNMF-based	18	7	0.1754370772789126
