method	n_cluster	seed	ari_value
wNMF-based	14	1	0.2099693309005519
wNMF-based	14	2	0.20001738213267364
wNMF-based	14	3	0.21445203378898864
wNMF-based	14	4	0.20923122019161602
wNMF-based	14	5	0.21082546299608962
wNMF-based	14	6	0.205515045788557
wNMF-based	14	7	0.20941048206503338
wNMF-based	14	8	0.2059344248687399
wNMF-based	14	9	0.211585413209056
Average-based	15	0	0.2146273896162424
Average-based	15	1	0.21810250597280814
Average-based	15	2	0.2175548511281596
Average-based	15	3	0.21844970617592338
Average-based	15	4	0.21793754723205286
Average-based	15	5	0.21732051825020118
Average-based	15	6	0.21621467854413215
Average-based	15	7	0.21573606610674742
Average-based	15	8	0.21683427181531784
Average-based	15	9	0.2167684099743224
Onehot-based	15	0	0.22243604010374313
Onehot-based	15	1	0.2258366008921294
Onehot-based	15	2	0.22381729818410412
Onehot-based	15	3	0.22528550376783807
Onehot-based	15	4	0.22098612093381376
Onehot-based	15	5	0.22477313635446217
Onehot-based	15	6	0.22306861674614895
Onehot-based	15	7	0.2241536771590636
Onehot-based	15	8	0.22606503931849517
Onehot-based	15	9	0.2266763106716097
wNMF-based	15	0	0.2065999166732468
wNMF-based	15	1	0.20167055121317382
wNMF-based	15	2	0.2065999166732468
wNMF-based	15	3	0.2062493204193469
wNMF-based	15	4	0.2062311514361764
wNMF-based	15	5	0.20656498644253776
wNMF-based	15	6	0.20088235116426043
wNMF-based	15	7	0.2050352381210324
wNMF-based	15	8	0.20794635264606265
wNMF-based	15	9	0.20225002347441293
Average-based	16	0	0.22320560108781543
Average-based	16	1	0.2233446397556244
Average-based	16	2	0.22090386498582276
Average-based	16	3	0.22042942342234548
Average-based	16	4	0.21393470528457786
Average-based	16	5	0.22376934989785816
Average-based	16	6	0.22370951609168213
Average-based	16	7	0.22353291167730885
Average-based	16	8	0.2235969093417861
Average-based	16	9	0.21960975311644992
Onehot-based	16	0	0.2211599374526015
Onehot-based	16	1	0.2071152599690863
Onehot-based	16	2	0.22125210259981506
Onehot-based	16	3	0.21840266040377251
Onehot-based	16	4	0.22082738014906453
Onehot-based	16	5	0.22197549494782085
Onehot-based	16	6	0.22362919908696416
Onehot-based	16	7	0.2235271202363666
Onehot-based	16	8	0.22000722344353849
Onehot-based	16	9	0.22288399149620786
wNMF-based	16	0	0.21611481347264752
wNMF-based	16	1	0.20918812076871462
wNMF-based	16	2	0.20777247789037526
