method	n_cluster	seed	ari_value
wNMF-based	14	9	0.0786641728212492
Average-based	15	0	0.07618402762475632
Average-based	15	1	0.07484844868119427
Average-based	15	2	0.0777363493220581
Average-based	15	3	0.0724248312757565
Average-based	15	4	0.07848529109988907
Average-based	15	5	0.08094848685245047
Average-based	15	6	0.07580494807766996
Average-based	15	7	0.07594119456682487
Average-based	15	8	0.08078665696990782
Average-based	15	9	0.0785267440465681
Onehot-based	15	0	0.08469359685673439
Onehot-based	15	1	0.09451439763304449
Onehot-based	15	2	0.08960372519112561
Onehot-based	15	3	0.0892433063438145
Onehot-based	15	4	0.08893115620859086
Onehot-based	15	5	0.09110368107844545
Onehot-based	15	6	0.09702346162881684
Onehot-based	15	7	0.09267145658235039
Onehot-based	15	8	0.09496942149245496
Onehot-based	15	9	0.0919036789814672
wNMF-based	15	0	0.07490062174757829
wNMF-based	15	1	0.08346938350452217
wNMF-based	15	2	0.08447566890820636
wNMF-based	15	3	0.0859102377327333
wNMF-based	15	4	0.08202634642476257
wNMF-based	15	5	0.08402979028954044
wNMF-based	15	6	0.08125340285381351
wNMF-based	15	7	0.08358861507596445
wNMF-based	15	8	0.0849684348380765
wNMF-based	15	9	0.08366198826982127
Average-based	16	0	0.08472053611961235
Average-based	16	1	0.08584411993557582
Average-based	16	2	0.08323840628826691
Average-based	16	3	0.09048849823168169
Average-based	16	4	0.08260937891481729
Average-based	16	5	0.08180645390456094
Average-based	16	6	0.07324849234794793
Average-based	16	7	0.07383199010214389
Average-based	16	8	0.08262643323007923
Average-based	16	9	0.07274252898803672
Onehot-based	16	0	0.0846819086832817
Onehot-based	16	1	0.09337083304641648
Onehot-based	16	2	0.0899869999500957
Onehot-based	16	3	0.09093321853204664
Onehot-based	16	4	0.09101633426522819
Onehot-based	16	5	0.09089948907481041
Onehot-based	16	6	0.08817594545315137
Onehot-based	16	7	0.08908105732772859
Onehot-based	16	8	0.09187308650912394
Onehot-based	16	9	0.09165296622907665
wNMF-based	16	0	0.08303610963419802
wNMF-based	16	1	0.0821152218160488
wNMF-based	16	2	0.08161979200168783
wNMF-based	16	3	0.08025591920881364
wNMF-based	16	4	0.07388174387783224
wNMF-based	16	5	0.07279586276234655
wNMF-based	16	6	0.07788172763871754
wNMF-based	16	7	0.08172896088445375
wNMF-based	16	8	0.08522640055412647
wNMF-based	16	9	0.07629311316618298
Average-based	17	0	0.06599568472488052
Average-based	17	1	0.07400522035399189
Average-based	17	2	0.07702660481559102
Average-based	17	3	0.06702397473521021
Average-based	17	4	0.06059935028155262
Average-based	17	5	0.07520363019102266
Average-based	17	6	0.07720103334719278
Average-based	17	7	0.06675059813643076
Average-based	17	8	0.06903631727885873
Average-based	17	9	0.07379461347334691
Onehot-based	17	0	0.09447517544097703
Onehot-based	17	1	0.09297863378156725
Onehot-based	17	2	0.09130165103249192
Onehot-based	17	3	0.09228393690496318
Onehot-based	17	4	0.09268958974146711
Onehot-based	17	5	0.08980066917659636
Onehot-based	17	6	0.09313539713748228
Onehot-based	17	7	0.09529230430876912
Onehot-based	17	8	0.0956246314263651
Onehot-based	17	9	0.09384360808467253
wNMF-based	17	0	0.07327538699609863
wNMF-based	17	1	0.07176960612362496
wNMF-based	17	2	0.07089024083683583
wNMF-based	17	3	0.07012587929345702
wNMF-based	17	4	0.07875600938883592
wNMF-based	17	5	0.07090803756631558
wNMF-based	17	6	0.06930701078794528
wNMF-based	17	7	0.07891947506543195
wNMF-based	17	8	0.0745112296096518
wNMF-based	17	9	0.07470401609758881
Average-based	18	0	0.07763139839636482
Average-based	18	1	0.06582143551710158
Average-based	18	2	0.07691065836094099
Average-based	18	3	0.07132360378088504
Average-based	18	4	0.07584085450422112
Average-based	18	5	0.07822915803885884
Average-based	18	6	0.08249282525760142
Average-based	18	7	0.07716370921659209
Average-based	18	8	0.07268490828123417
