method	n_cluster	seed	ari_value
Onehot-based	13	4	0.36303072905721406
Onehot-based	13	5	0.3883261532322052
Onehot-based	13	6	0.3864977922710991
Onehot-based	13	7	0.3770863031913601
Onehot-based	13	8	0.38648832534515937
Onehot-based	13	9	0.3666150044872187
wNMF-based	13	0	0.34128480847311554
wNMF-based	13	1	0.3402732242902214
wNMF-based	13	2	0.3416295354560665
wNMF-based	13	3	0.3405272681825044
wNMF-based	13	4	0.34150237040829995
wNMF-based	13	5	0.33947555880496577
wNMF-based	13	6	0.34061901208791
wNMF-based	13	7	0.3423580109731557
wNMF-based	13	8	0.3388949239583808
wNMF-based	13	9	0.33941330993205343
Average-based	14	0	0.3665556944583894
Average-based	14	1	0.3694911659655949
Average-based	14	2	0.36737490176213883
Average-based	14	3	0.37175820515939634
Average-based	14	4	0.3724384447348143
Average-based	14	5	0.3732439892627035
Average-based	14	6	0.3716983349196309
Average-based	14	7	0.3728234215352709
Average-based	14	8	0.3819279433254383
Average-based	14	9	0.3739945531078804
Onehot-based	14	0	0.32839425757083385
Onehot-based	14	1	0.320956507278041
Onehot-based	14	2	0.3188644710922578
Onehot-based	14	3	0.3524255643981981
Onehot-based	14	4	0.3195794598956468
Onehot-based	14	5	0.34130156076892404
Onehot-based	14	6	0.3467030851915727
Onehot-based	14	7	0.32719064202744247
Onehot-based	14	8	0.3570633971502244
Onehot-based	14	9	0.3444736317889625
wNMF-based	14	0	0.34983441936635973
wNMF-based	14	1	0.3494795531177867
wNMF-based	14	2	0.30251583122671805
wNMF-based	14	3	0.3523244371142745
wNMF-based	14	4	0.34983441936635973
wNMF-based	14	5	0.301516328915519
wNMF-based	14	6	0.348830581936869
wNMF-based	14	7	0.3523948667396379
wNMF-based	14	8	0.34882282182820895
wNMF-based	14	9	0.34941084399744615
Average-based	15	0	0.36146618213269477
Average-based	15	1	0.3426421654076674
Average-based	15	2	0.36328018833533193
Average-based	15	3	0.3658829484588003
Average-based	15	4	0.35874655742530936
Average-based	15	5	0.37201445690720575
Average-based	15	6	0.3602199672146636
Average-based	15	7	0.3442474104304707
Average-based	15	8	0.36150970644876895
Average-based	15	9	0.3591728801907389
Onehot-based	15	0	0.36181399694283406
Onehot-based	15	1	0.3546928620068777
Onehot-based	15	2	0.3510197189475428
Onehot-based	15	3	0.35925563766727664
Onehot-based	15	4	0.35273249553969244
Onehot-based	15	5	0.34888445963418
Onehot-based	15	6	0.3469250711111969
Onehot-based	15	7	0.34814652844539923
Onehot-based	15	8	0.3586813057375242
Onehot-based	15	9	0.35837034831673265
wNMF-based	15	0	0.31246781157455356
wNMF-based	15	1	0.3142201521448073
wNMF-based	15	2	0.30038043698644684
wNMF-based	15	3	0.3132837683405144
wNMF-based	15	4	0.30021516339643345
wNMF-based	15	5	0.3167531951666089
wNMF-based	15	6	0.3156535006828823
wNMF-based	15	7	0.3133483159858321
wNMF-based	15	8	0.3151244647474627
wNMF-based	15	9	0.29903004142334066
Average-based	16	0	0.3619376984276834
Average-based	16	1	0.3596861023570643
Average-based	16	2	0.36166760271144993
Average-based	16	3	0.35981801299750366
Average-based	16	4	0.36438629661864524
Average-based	16	5	0.34316776064836035
Average-based	16	6	0.35824352312317115
Average-based	16	7	0.3645269562035822
Average-based	16	8	0.36639301847543093
Average-based	16	9	0.3581612173511934
Onehot-based	16	0	0.3576465332502281
Onehot-based	16	1	0.35211248518540644
Onehot-based	16	2	0.3229629314966148
Onehot-based	16	3	0.35074918817052275
Onehot-based	16	4	0.33306326267178926
Onehot-based	16	5	0.3332409756896435
Onehot-based	16	6	0.35335902777574285
Onehot-based	16	7	0.3476935814245561
Onehot-based	16	8	0.35857032567768865
Onehot-based	16	9	0.3431196930590299
wNMF-based	16	0	0.3021378776851842
wNMF-based	16	1	0.3203230071516172
wNMF-based	16	2	0.3159111446236378
wNMF-based	16	3	0.32305228622164645
wNMF-based	16	4	0.3224554646938176
wNMF-based	16	5	0.31469220804729603
wNMF-based	16	6	0.3011263872515034
wNMF-based	16	7	0.32251583656859595
wNMF-based	16	8	0.31662013184960025
wNMF-based	16	9	0.3191108615737582
Average-based	17	0	0.3627263176973965
Average-based	17	1	0.3513605138681892
Average-based	17	2	0.36309759651522255
Average-based	17	3	0.33995749635597194
Average-based	17	4	0.35002930989437886
Average-based	17	5	0.3642497039120228
Average-based	17	6	0.36417198628403497
Average-based	17	7	0.35296058327487095
Average-based	17	8	0.36186095667645773
Average-based	17	9	0.3511308789023837
Onehot-based	17	0	0.3567624826791351
Onehot-based	17	1	0.35773004893591115
Onehot-based	17	2	0.3544911043449699
Onehot-based	17	3	0.3321216432514712
Onehot-based	17	4	0.35019007464403995
Onehot-based	17	5	0.3609566917351605
Onehot-based	17	6	0.35178614026483157
Onehot-based	17	7	0.35325026832366585
Onehot-based	17	8	0.35774917536384493
Onehot-based	17	9	0.35578935245778864
wNMF-based	17	0	0.3161808894292661
wNMF-based	17	1	0.3035763909718205
wNMF-based	17	2	0.32473309130503314
wNMF-based	17	3	0.3158037455085942
wNMF-based	17	4	0.30410943127730966
wNMF-based	17	5	0.31934563724601533
wNMF-based	17	6	0.31850196681483867
wNMF-based	17	7	0.32252066142243974
wNMF-based	17	8	0.3182660717490404
wNMF-based	17	9	0.3235002272138132
Average-based	18	0	0.3569457109620487
Average-based	18	1	0.34766089222877833
Average-based	18	2	0.36369390098302823
Average-based	18	3	0.3555437575530084
Average-based	18	4	0.34106885545288623
Average-based	18	5	0.3604789409665924
Average-based	18	6	0.35991534976246775
Average-based	18	7	0.36408035339106193
Average-based	18	8	0.3659511921349293
Average-based	18	9	0.35997869321593196
Onehot-based	18	0	0.3359515110860345
Onehot-based	18	1	0.3138069200850088
Onehot-based	18	2	0.33913236585050555
Onehot-based	18	3	0.32980548714077995
Onehot-based	18	4	0.3545704830853158
Onehot-based	18	5	0.35876202309767535
Onehot-based	18	6	0.35444745998395377
Onehot-based	18	7	0.3273325081069893
Onehot-based	18	8	0.35584868332766145
Onehot-based	18	9	0.3554317038138277
wNMF-based	18	0	0.29752251407695474
wNMF-based	18	1	0.31396343921736497
wNMF-based	18	2	0.3003015651131362
wNMF-based	18	3	0.30329279856670766
wNMF-based	18	4	0.3153218447393558
wNMF-based	18	5	0.306307247502928
wNMF-based	18	6	0.30553504716075053
wNMF-based	18	7	0.3172357228446427
wNMF-based	18	8	0.34607168059067944
wNMF-based	18	9	0.29753248296997753
Average-based	19	0	0.31950794070697314
Average-based	19	1	0.3403969063015976
Average-based	19	2	0.35143038406461924
Average-based	19	3	0.3377153229990156
Average-based	19	4	0.3212653387447114
Average-based	19	5	0.35179366087448155
Average-based	19	6	0.35843969154787586
Average-based	19	7	0.34466098956121116
Average-based	19	8	0.34401855694294764
Average-based	19	9	0.336400196304893
Onehot-based	19	0	0.3514582359737911
Onehot-based	19	1	0.32100378691191606
Onehot-based	19	2	0.3586085228060089
Onehot-based	19	3	0.34472397386266923
Onehot-based	19	4	0.32134007649124524
Onehot-based	19	5	0.3534517664857559
Onehot-based	19	6	0.3254512043794869
Onehot-based	19	7	0.3587556994675096
Onehot-based	19	8	0.34545063916190694
Onehot-based	19	9	0.35105531964010256
wNMF-based	19	0	0.31645329890411805
wNMF-based	19	1	0.32409188406820816
wNMF-based	19	2	0.29739783271012804
wNMF-based	19	3	0.2978438690710798
wNMF-based	19	4	0.31733668061632164
wNMF-based	19	5	0.30652471408867377
wNMF-based	19	6	0.30237375850651216
wNMF-based	19	7	0.3159001822901387
wNMF-based	19	8	0.30154637902188497
wNMF-based	19	9	0.3034697303571941
Average-based	20	0	0.31495603062305927
Average-based	20	1	0.35198927303219374
Average-based	20	2	0.34585418654427685
Average-based	20	3	0.3508593225930098
Average-based	20	4	0.35796541194469006
Average-based	20	5	0.344005757029723
Average-based	20	6	0.3459600434962415
Average-based	20	7	0.35280916673674234
Average-based	20	8	0.3607584679120914
Average-based	20	9	0.3353462214137647
Onehot-based	20	0	0.32162850898634704
Onehot-based	20	1	0.32796424998176454
Onehot-based	20	2	0.3293088173804925
Onehot-based	20	3	0.34397324624871894
Onehot-based	20	4	0.32498442177258036
